timestamp,latency_ms,msg_size_bytes
1762625231.7854445,1.3,70
1762625231.988439,1.18,70
1762625232.046443,1.02,70
1762625232.1015825,0.0,70
1762625232.1541617,0.0,70
1762625232.2088091,0.0,70
1762625232.2611995,1.05,70
1762625232.3142273,0.0,70
1762625232.3669531,0.0,70
1762625232.418769,0.97,70
1762625232.4711435,0.0,70
1762625232.5223322,0.0,70
1762625232.573835,0.0,70
1762625232.6251116,1.01,70
1762625232.6782002,0.97,70
1762625232.7301316,0.0,70
1762625232.78182,0.0,70
1762625232.8313913,1.1,70
1762625232.882827,0.51,70
1762625232.9330354,0.51,70
1762625232.9861295,0.97,70
1762625233.0389328,0.0,70
1762625233.088342,1.02,70
1762625233.1391802,0.97,70
1762625233.189194,1.01,70
1762625233.243179,0.0,70
1762625233.292015,0.97,70
1762625233.3430922,1.0,70
1762625233.3940306,0.99,70
1762625233.4448483,0.0,70
1762625233.4951143,0.97,70
1762625233.5432117,0.0,70
1762625233.5932462,1.51,70
1762625233.6441095,0.0,70
1762625233.6938944,1.01,70
1762625233.7449803,0.97,70
1762625233.7940152,1.01,70
1762625233.8432827,0.0,70
1762625233.8929834,0.0,70
1762625233.941193,0.97,70
1762625233.9938548,1.0,70
1762625234.0430598,1.01,70
1762625234.0930412,1.0,70
1762625234.1438696,0.0,70
1762625234.197769,0.0,70
1762625234.2497275,0.0,70
1762625234.305227,0.0,70
1762625234.3597636,0.97,70
1762625234.4218776,1.05,70
1762625234.4807134,0.97,70
1762625234.5415583,0.97,70
1762625234.5992186,1.4,70
1762625234.6572864,1.11,70
1762625234.7178175,0.0,70
1762625234.778176,0.0,70
1762625234.8429387,1.51,70
1762625234.908122,1.01,70
1762625234.9758365,0.98,70
1762625235.0529475,1.12,70
1762625235.1219764,0.0,70
1762625235.177049,1.0,70
1762625235.2332606,1.51,70
1762625235.2928925,0.0,70
1762625235.355516,0.0,70
1762625235.4173098,0.98,70
1762625235.4782403,0.97,70
1762625235.5349963,0.0,70
1762625235.5953481,0.0,70
1762625235.6556268,0.0,70
1762625235.7128925,0.0,70
1762625235.7730222,0.0,70
1762625235.8244882,1.52,70
1762625235.8762112,0.97,70
1762625235.9276752,0.0,70
1762625235.976361,0.0,70
1762625236.0277357,0.0,70
1762625236.0764031,0.0,70
1762625236.125826,0.0,70
1762625236.1768548,0.0,70
1762625236.2239923,1.03,70
1762625236.2739236,0.0,70
1762625236.3241365,0.0,70
1762625236.376248,0.97,70
1762625236.4240224,0.0,70
1762625236.472989,1.0,70
1762625236.5205462,1.01,70
1762625236.5704079,0.0,70
1762625236.6192338,0.0,70
1762625236.6672127,0.98,70
1762625236.7150714,1.04,70
1762625236.76413,0.0,70
1762625236.8121164,0.97,70
1762625236.8595076,0.97,70
1762625236.908198,1.02,70
1762625236.9591415,0.0,70
1762625237.0069952,0.97,70
1762625237.055594,1.26,70
1762625237.1039875,1.06,70
1762625237.154249,1.0,70
1762625237.202222,0.0,70
1762625237.2531502,0.0,70
1762625237.3014007,0.0,70
1762625237.3551264,0.99,70
1762625237.40946,0.0,70
1762625237.4629061,0.0,70
1762625237.515028,0.0,70
1762625237.5673585,0.0,70
1762625237.6230419,0.0,70
1762625237.6774347,1.06,70
1762625237.7310958,0.0,70
1762625237.7862775,0.97,70
1762625237.8383527,1.01,70
1762625237.890547,0.97,70
1762625237.9415884,0.97,70
1762625237.999859,0.97,70
1762625238.0536711,0.56,70
1762625238.107323,0.0,70
1762625238.1613958,0.0,70
1762625238.216889,0.0,70
1762625238.2683485,1.0,70
1762625238.3830824,0.0,70
1762625238.437957,0.0,70
1762625238.4902158,0.0,70
1762625238.5389194,1.02,70
1762625238.5929503,0.0,70
1762625238.645135,0.0,70
1762625238.6999238,0.0,70
1762625238.7499866,0.0,70
1762625238.8028991,0.0,70
1762625238.855349,1.3,70
1762625238.91025,1.0,70
1762625238.963978,1.02,70
1762625239.0242834,1.03,70
1762625239.0772417,0.0,70
1762625239.1270893,1.0,70
1762625239.1776671,0.97,70
1762625239.2272055,1.01,70
1762625239.2760742,0.97,70
1762625239.3262842,0.0,70
1762625239.3751767,0.97,70
1762625239.4278517,0.0,70
1762625239.4818223,0.0,70
1762625239.5331812,0.0,70
1762625239.5891433,0.97,70
1762625239.6450481,1.05,70
1762625239.7318532,0.97,70
1762625239.7914038,0.0,70
1762625239.8499727,1.04,70
1762625239.9151905,1.28,70
1762625239.9913778,1.08,70
1762625240.0615265,0.0,70
1762625240.1241832,0.0,70
1762625240.1855032,1.32,70
1762625240.2430723,0.0,70
1762625240.2994113,0.0,70
1762625240.3532183,1.01,70
1762625240.4092917,0.97,70
1762625240.464062,0.0,70
1762625240.5098305,0.97,70
1762625240.561607,1.0,70
1762625240.6122136,0.0,70
1762625240.6642492,0.0,70
1762625240.7173932,0.0,70
1762625240.7709885,0.0,70
1762625240.8238966,1.01,70
1762625240.8753092,0.0,70
1762625240.9283931,0.0,70
1762625240.9809375,0.0,70
1762625241.033045,0.97,70
