timestamp,latency_ms,msg_size_bytes
1762625304.7113817,0.0,70
1762625304.928178,0.0,70
1762625304.9831688,0.0,70
1762625305.036932,0.0,70
1762625305.089966,0.97,70
1762625305.1412172,0.0,70
1762625305.1971247,0.0,70
1762625305.256883,0.0,70
1762625305.3872297,0.0,70
1762625305.4421844,0.0,70
1762625305.4972086,0.0,70
1762625305.5511606,0.0,70
1762625305.60672,0.0,70
1762625305.661945,0.0,70
1762625305.7192233,0.0,70
1762625305.7778263,0.0,70
1762625305.842064,1.12,70
1762625305.8961885,1.01,70
1762625305.9510467,1.02,70
1762625306.004952,0.0,70
1762625306.0582597,0.0,70
1762625306.1101346,0.0,70
1762625306.16582,0.0,70
1762625306.2199733,0.0,70
1762625306.2738135,0.0,70
1762625306.3314493,0.0,70
1762625306.3881605,0.0,70
1762625306.4440389,0.0,70
1762625306.4993763,0.0,70
1762625306.5551088,0.0,70
1762625306.6089756,0.0,70
1762625306.6632028,0.0,70
1762625306.718573,0.0,70
1762625306.774265,1.07,70
1762625306.8289173,0.0,70
1762625306.9012506,0.0,70
1762625306.9518352,0.0,70
1762625307.0039456,0.0,70
1762625307.05397,0.0,70
1762625307.106101,0.0,70
1762625307.1571014,0.0,70
1762625307.2087896,0.0,70
1762625307.2608206,0.0,70
1762625307.3115494,0.0,70
1762625307.3619466,0.0,70
1762625307.4132686,0.0,70
1762625307.4632046,0.0,70
1762625307.5107977,0.0,70
1762625307.5590563,0.0,70
1762625307.6079648,0.0,70
1762625307.6563656,0.0,70
1762625307.7068696,0.0,70
1762625307.7600617,0.0,70
1762625307.8100555,0.0,70
1762625307.8616261,0.0,70
1762625307.91501,0.0,70
1762625307.9650578,0.0,70
1762625308.0158582,0.0,70
1762625308.0679204,0.0,70
1762625308.1207147,1.02,70
1762625308.1707203,0.0,70
1762625308.2263324,0.0,70
1762625308.2777238,0.98,70
1762625308.3298976,0.0,70
1762625308.3828323,0.0,70
1762625308.43493,0.0,70
1762625308.486167,0.0,70
1762625308.5381043,0.0,70
1762625308.5872269,1.0,70
1762625308.637693,0.0,70
1762625308.691713,0.0,70
1762625308.7415428,0.0,70
1762625308.7931087,0.0,70
1762625308.8432217,1.0,70
1762625308.8985014,0.0,70
1762625308.948213,0.0,70
1762625309.0001345,0.0,70
1762625309.051126,0.0,70
1762625309.1019945,0.0,70
1762625309.1497834,0.0,70
1762625309.2038126,0.0,70
1762625309.2550523,0.0,70
1762625309.3049548,0.0,70
1762625309.354869,0.0,70
1762625309.4031506,1.51,70
1762625309.4518604,0.0,70
1762625309.5023181,0.0,70
1762625309.5529356,0.0,70
1762625309.6037874,0.0,70
1762625309.653842,0.0,70
1762625309.7071352,0.0,70
1762625309.7591953,0.0,70
1762625309.8120725,0.97,70
1762625309.8638563,0.0,70
1762625309.9149098,1.03,70
1762625309.966182,0.0,70
1762625310.0161831,0.0,70
1762625310.0653164,0.0,70
1762625310.1195014,0.0,70
1762625310.17072,0.0,70
1762625310.2230356,0.0,70
1762625310.2728207,0.0,70
1762625310.324167,0.0,70
1762625310.3759878,0.97,70
1762625310.430183,0.0,70
1762625310.4803827,0.0,70
1762625310.5290885,0.0,70
1762625310.5780342,0.0,70
1762625310.6260316,1.01,70
1762625310.6731758,0.0,70
1762625310.723861,0.0,70
1762625310.7738464,0.0,70
1762625310.8232408,0.0,70
1762625310.872995,0.0,70
1762625310.9208157,0.0,70
1762625310.969628,0.0,70
1762625311.020875,0.0,70
1762625311.0702636,0.0,70
1762625311.117948,0.0,70
1762625311.168225,0.0,70
1762625311.222969,0.0,70
1762625311.2810264,0.97,70
1762625311.3370194,0.0,70
1762625311.3889902,0.97,70
1762625311.4440267,0.99,70
1762625311.4988637,0.0,70
1762625311.5530226,0.0,70
1762625311.605819,0.0,70
1762625311.6622586,1.04,70
1762625311.7148743,1.02,70
1762625311.766783,0.0,70
1762625311.8304079,1.03,70
1762625311.8971584,0.0,70
1762625311.9520297,1.0,70
1762625312.005006,0.0,70
1762625312.065169,0.0,70
1762625312.1269073,0.0,70
1762625312.187742,0.0,70
1762625312.2487888,0.0,70
1762625312.3089917,0.0,70
1762625312.369986,0.0,70
1762625312.4284887,0.0,70
1762625312.488703,0.0,70
1762625312.5513766,0.0,70
1762625312.6042814,0.0,70
1762625312.6563845,0.0,70
1762625312.70726,0.0,70
1762625312.7569873,0.0,70
1762625312.8118172,0.0,70
1762625312.8660145,0.98,70
1762625312.920545,0.0,70
1762625312.9716787,0.0,70
1762625313.020516,1.5,70
1762625313.0709999,1.01,70
1762625313.1192331,0.0,70
1762625313.1706483,0.0,70
1762625313.2192755,0.0,70
1762625313.268939,0.0,70
1762625313.3188696,0.0,70
1762625313.3689263,1.02,70
1762625313.4192207,0.0,70
1762625313.4688416,0.97,70
1762625313.5172434,0.0,70
1762625313.566475,0.0,70
1762625313.613913,0.0,70
1762625313.66684,0.0,70
1762625313.7161968,0.0,70
1762625313.764264,0.0,70
1762625313.8130338,0.0,70
1762625313.8640358,0.0,70
1762625313.9139109,0.0,70
1762625313.9630995,0.0,70
1762625314.0117178,0.0,70
1762625314.0592256,0.0,70
